COUNT_DATE,VolumeLeg,LegDir,Street2,Location,TOTAL (Cars/Day),Lat,Lng
2011-03-08,Stevens Creek Bl,W of,Boynton Av,Stevens Creek Bl - W of  Boynton Av,29778,37.323228,-121.965783
2015-04-16,St John St,W of,First St,St John St - W of  First St,4659,37.33751,-121.891992
2015-04-16,St John St,W of,Fifth St,St John St - W of  Fifth St,2568,37.339525,-121.887752
2011-03-09,Snell Av,N of,Cauyga Dr,Snell Av - N of  Cauyga Dr,4421,37.231671,-121.830527
2011-03-10,Snell Av,N of,Juneberry Ct,Snell Av - N of  Juneberry Ct,17765,37.272095,-121.836807
2011-03-10,Snel Av,S of,Obert Dr,Snel Av - S of  Obert Dr,30449,37.261469,-121.830912
2014-03-20,Seventh St,N of,William St,Seventh St - N of  William St,6551,37.331797,-121.878682
2011-03-01,Seventh St,N of,Bestor St,Seventh St - N of  Bestor St,23196,37.325891,-121.870013
2015-04-16,Second St,S of,San Fernando St,Second St - S of  San Fernando St,5593,37.334556,-121.887942
2014-03-05,Second St,S of,Santa Clara St,Second St - S of  Santa Clara St,5589,37.336408,-121.889316
2014-03-05,First St,N of,Santa Clara St,First St - N of  Santa Clara St,3549,37.336442,-121.890768
2014-10-30,Montgomery St,S of,Santa Clara St,Montgomery St - S of  Santa Clara St,4481,37.331538,-121.901214
2011-02-24,Prospect Rd,E of,Clarkspur Ln,Prospect Rd - E of  Clarkspur Ln,14725,37.293767,-122.02025
2011-02-24,Prospect Rd,E of,Johnson Rd,Prospect Rd - E of  Johnson Rd,17653,37.293289,-122.006881
2011-04-21,Moorpark Av,E of,,Moorpark Av - E of,11860,37.316076,-121.958578
2011-04-21,Moorpark Av,E of,,Moorpark Av - E of,10264,37.315887,-121.9865
2014-04-30,Baywood Av,S of,Moorpark Av,Baywood Av - S of  Moorpark Av,1825,37.315567,-121.945705
2011-04-30,Moorpark Av,E of,Baywood Av,Moorpark Av - E of  Baywood Av,28193,37.316056,-121.945312
2014-03-05,First St,N of,San Salvador St,First St - N of  San Salvador St,4202,37.330295,-121.886192
2011-05-03,Component Dr,E of,First St,Component Dr - E of  First St,2334,37.383121,-121.924842
2014-03-04,Matrix Bl,W of,First St,Matrix Bl - W of  First St,8294,37.371157,-121.916977
2014-09-25,Market St,S of,Balbach St,Market St - S of  Balbach St,16026,37.328788,-121.885873
2013-01-17,Julian St,W of,Ninth St,Julian St - W of  Ninth St,8365,37.344427,-121.885656
2013-01-17,Julian St,E of,Ninth St,Julian St - E of  Ninth St,8645,37.344742,-121.884992
2013-01-17,Ninth St,N of,Julian St,Ninth St - N of  Julian St,1064,37.344904,-121.885597
2013-01-17,Ninth St,S of,Julian St,Ninth St - S of  Julian St,965,37.344305,-121.88515
2014-03-05,Hillsdale Av,W of,Ross Av,Hillsdale Av - W of  Ross Av,20175,37.262893,-121.91837
2014-09-24,Hedding St,E of,Fifteenth St,Hedding St - E of  Fifteenth St,14160,37.360295,-121.888819
2009-07-09,San Antonio St,E of,Thirtyfourth St,San Antonio St - E of  Thirtyfourth St,7314,37.348961,-121.854572
2011-01-19,Eleventh St,S of,San Carlos St,Eleventh St - S of  San Carlos St,14787,37.336292,-121.876332
2011-08-03,Curtner Av,W of,Almaden Rd,Curtner Av - W of  Almaden Rd,26806,37.292237,-121.880738
2015-04-08,Iris Ct,S of,Minnesota Av,Iris Ct - S of  Minnesota Av,736,37.302435,-121.898416
